date,No. of days,txVolume,txCount,marketcap,exchangeVolume,generatedCoins,fees,Bitcoin Google Trends,Price,GDPC1
5/30/2013,33,87681332.17,54862,1483180000,0,4275,52.00668912,4,129,172
5/31/2013,34,69988263.69,57928,1445050000,0,4375,47.80279122,4,129,172
6/1/2013,35,84464043,56274,1445800000,0,4500,47.48303138,4,129,172
6/2/2013,36,54488189.47,52487,1451930000,0,5050,39.68031578,3,122,172
6/3/2013,37,46263259.21,50171,1376180000,0,5100,49.71934703,3,122,172
6/4/2013,38,74093167.18,52867,1357020000,0,5300,45.44642277,3,121,172
6/5/2013,39,76353201.22,59408,1365110000,0,5150,64.11903339,3,122,172
6/6/2013,40,73771490.3,55162,1371300000,0,4900,60.92765768,3,118,172
6/7/2013,41,76885910,55800,1338880000,0,4550,42.94448631,3,112,172
6/8/2013,42,70293175.28,54517,1249630000,0,4100,40.76889109,3,108,172
6/9/2013,43,35135524.63,45646,1215130000,0,4025,44.05412068,3,100,172
6/10/2013,44,66420402.78,46443,1131570000,0,4275,38.59999691,3,106,172
6/11/2013,45,51422640.82,43927,1198640000,0,4550,34.07402103,3,109,172
6/12/2013,46,56856758.31,49796,1229000000,0,4475,47.35571901,3,108,172
6/13/2013,47,55436782.52,45093,1227030000,0,4875,41.80132413,3,104,172
6/14/2013,48,50836337.89,44612,1173060000,0,4850,39.61784095,3,100,172
6/15/2013,49,70635391.78,47915,1128950000,0,4200,37.94265331,3,100,172
6/16/2013,50,44491746.76,40041,1127120000,0,4525,36.50098688,3,100,172
6/17/2013,51,44227524.28,40072,1128720000,0,4525,29.21024324,3,102,172
6/18/2013,52,56007448.66,43885,1152250000,0,3875,35.6994354,3,107,172
6/19/2013,53,63697515.39,47281,1210260000,0,3625,36.92675947,3,108,172
6/20/2013,54,61605447.94,45754,1224210000,0,3100,35.49768977,3,110,172
6/21/2013,55,71594541.41,51920,1259000000,0,3775,66.63940675,3,110,172
6/22/2013,56,76091930.57,49830,1239210000,0,4250,50.88258598,3,108,172
6/23/2013,57,43427619.08,44645,1224980000,0,4600,49.4188564,3,108,172
6/24/2013,58,32080474.32,37641,1222030000,0,4125,36.92735886,3,103,172
6/25/2013,59,53272971.29,42878,1156610000,0,3550,38.58707721,3,104,172
6/26/2013,60,73154120.77,45161,1171050000,0,3825,36.088719,3,104,172
6/27/2013,61,58485818.55,45351,1179110000,0,4700,38.72340514,3,101,172
6/28/2013,62,49508909.94,46332,1153880000,0,4150,32.65156561,3,95,172
6/29/2013,63,52492475.2,48777,1074010000,0,4275,47.75314975,3,95,172
6/30/2013,64,52525952.77,37949,1078260000,0,3950,25.1261887,4,97,172
7/1/2013,65,32534082.62,32088,1107130000,0,3950,30.26636173,4,88,174
7/2/2013,66,64418653.46,36031,1000070000,0,3950,22.29746409,4,90,174
7/3/2013,67,58984360.31,40821,1027160000,0,3825,35.68964129,4,78,174
7/4/2013,68,58918973.3,35507,896693000,0,4625,29.48523635,4,81,174
7/5/2013,69,60474420.7,35434,909526000,0,4050,22.16351472,4,68,174
7/6/2013,70,63792103.43,36450,779255000,0,4475,33.4891456,4,70,174
7/7/2013,71,50143364.95,35431,782352000,0,4750,30.92358948,3,75,174
7/8/2013,72,50158280.27,29566,870912000,0,4850,17.77253004,3,77,174
7/9/2013,73,52951515.83,36817,865585000,0,4550,31.4434201,3,77,174
7/10/2013,74,90266007.67,41049,874138000,0,4825,35.04585076,3,87,174
7/11/2013,75,101490089,39922,1003090000,0,4400,26.81968763,3,89,174
7/12/2013,76,87293523.03,41158,1014640000,0,4775,34.60590643,3,94,174
7/13/2013,77,102286293.6,48827,1072140000,0,4000,30.88380562,3,98,174
7/14/2013,78,81225811.18,39681,1126260000,0,3800,34.09145753,3,95,174
7/15/2013,79,59123636.47,33651,1068520000,0,4100,22.1297315,3,98,174
7/16/2013,80,55186568.31,36473,1129260000,0,4325,23.2125662,3,97,174
7/17/2013,81,86840086.53,39230,1104760000,0,4100,34.64459148,3,99,174
7/18/2013,82,92121406.09,40548,1125660000,0,4250,34.35175156,3,91,174
7/19/2013,83,85517579.38,41363,1029670000,0,4325,27.48021325,3,92,174
7/20/2013,84,70976773.34,37055,1052140000,0,4225,32.10967148,3,89,174
7/21/2013,85,46635483.92,33811,1027640000,0,4675,22.96289992,3,91,174
7/22/2013,86,39773632.4,35263,1053000000,0,4850,24.64534852,3,92,174
7/23/2013,87,79041872.04,38203,1048820000,0,4400,22.77125664,3,96,174
7/24/2013,88,90184298.51,39152,1094490000,0,3575,31.28714746,3,95,174
7/25/2013,89,74363957.32,40214,1082800000,0,3925,33.70948583,3,97,174
7/26/2013,90,70732617.32,42235,1111160000,0,3425,34.44198333,3,96,174
7/27/2013,91,75169882.88,39901,1100900000,0,4375,22.03109172,3,94,174
7/28/2013,92,48121446.98,36626,1082750000,0,4200,31.41478594,3,100,174
7/29/2013,93,49592389.54,33147,1131340000,0,4425,20.28278282,3,101,174
7/30/2013,94,80044085.63,44648,1164940000,0,4350,32.816041,3,108,174
7/31/2013,95,98039497.5,39903,1239630000,0,4625,35.33521807,3,106,174
8/1/2013,96,91529661.75,51580,1220190000,0,4800,45.75584981,3,104,174
8/2/2013,97,109890010.8,48467,1205070000,0,4850,32.62343537,3,105,174
8/3/2013,98,88596216.01,50759,1201490000,0,4600,39.86644539,3,104,174
8/4/2013,99,69841305.93,46711,1207100000,0,4250,26.82670848,3,105,174
8/5/2013,100,51518762.14,46054,1209520000,0,4400,33.64238002,3,106,174
8/6/2013,101,79583066.29,47983,1228440000,0,4875,26.92411131,3,107,174
8/7/2013,102,75111238.56,52043,1229100000,0,4600,40.48977578,3,107,174
8/8/2013,103,75918308.8,56974,1229100000,0,4575,30.50863112,3,103,174
8/9/2013,104,73788415.81,56992,1187920000,0,5000,49.88366029,3,103,174
8/10/2013,105,60374085.06,52486,1185310000,0,5150,44.97811212,3,103,174
8/11/2013,106,51191177.36,52316,1188150000,0,4925,30.09904246,3,105,174
8/12/2013,107,43098546.21,39459,1211790000,0,5350,32.89432334,3,107,174
8/13/2013,108,76152393.67,47995,1235340000,0,5850,25.2498706,3,109,174
8/14/2013,109,133455553.8,51711,1265450000,0,4700,29.03962614,3,113,174
8/15/2013,110,146003806.6,51140,1300660000,0,3950,43.68051202,3,110,174
8/16/2013,111,92968634.35,59689,1271470000,0,4250,64.33394174,3,109,174
8/17/2013,112,115441695.7,68632,1260350000,0,4225,45.1878648,3,114,174
8/18/2013,113,106546006.3,55848,1304320000,0,4550,28.10946064,3,114,174
8/19/2013,114,90352235.74,55561,1312160000,0,5000,46.4707411,3,119,174
8/20/2013,115,121770720.8,70647,1377730000,0,4500,38.02368753,3,121,174
8/21/2013,116,106633408.8,64526,1403890000,0,4450,45.04735972,3,123,174
8/22/2013,117,151231260.6,63259,1428700000,0,5100,34.16427786,3,121,174
8/23/2013,118,92166554.91,63946,1414290000,0,5275,37.27870579,3,119,174
8/24/2013,119,90510988.29,57493,1374420000,0,5350,34.30541551,3,120,174
8/25/2013,120,69730638.78,51291,1387640000,0,4550,28.25622737,3,122,174
8/26/2013,121,63200042.72,44977,1417200000,0,3675,30.69672002,3,120,174
8/27/2013,122,75915673.03,54694,1394010000,0,4200,39.9253731,3,127,174
8/28/2013,123,99950428.02,60616,1468960000,0,4150,39.9551381,3,123,174
8/29/2013,124,91469348.9,63043,1424680000,0,4250,259.9757436,3,122,174
8/30/2013,125,87935475.39,62066,1422120000,0,5050,28.62638351,3,133,174
8/31/2013,126,100071685.6,61509,1547640000,0,4750,43.30919043,3,135,174
9/1/2013,127,91973413.45,50294,1572230000,0,5500,31.7263961,3,138,174
9/2/2013,128,76333680.32,44861,1613600000,0,5475,25.05146361,3,136,174
9/3/2013,129,81705725.52,50603,1579180000,0,5700,47.06920633,3,137,174
9/4/2013,130,100237206.9,50369,1590550000,0,4650,30.7920692,3,127,174
9/5/2013,131,95502086.17,51090,1477250000,0,4300,24.93143079,3,126,174
9/6/2013,132,92823008.96,61496,1474670000,0,4350,34.27211578,3,119,174
9/7/2013,133,81550172.56,62282,1386610000,0,4725,32.63392986,3,124,174
9/8/2013,134,73093938.02,52520,1448180000,0,3800,26.90479469,3,122,174
9/9/2013,135,47562047.53,46494,1422180000,0,3800,25.31622568,3,127,174
